rank,gene,degree,betweenness_centrality,closeness_centrality,clustering_coefficient,biological_annotation
1,NONO,265,0.006620157283744105,0.28127476010212166,0.27998856489422524,RNA-binding protein; splicing and RNA processing regulator
2,HNRNPK,192,0.010041392619771753,0.2774400833622786,0.3157177137870855,RNA-binding protein; heterogeneous nuclear ribonucleoprotein
3,HNRNPD,212,0.004992899467733847,0.276049766718507,0.3183850487346866,RNA-binding protein; mRNA stability and processing
4,DHX9,203,0.005167286481424056,0.27182235834609497,0.32575720626249816,RNA helicase; RNA processing and transcriptional regulation
5,PRPF8,189,0.004229332237991736,0.2673416450506234,0.3461105482382078,Core spliceosome component
6,TRA2B,201,0.0033370724221910104,0.27044184865413917,0.3465174129353234,Splicing factor; alternative splicing regulation
7,KHDRBS1,190,0.004664887173194881,0.26722984275677486,0.3238095238095238,RNA-binding protein; splicing-associated regulator
8,SNRNP200,203,0.003190003151778174,0.2710383440787241,0.3478027605716237,Spliceosome RNA helicase
9,ACIN1,196,0.010159408873470136,0.27967436974789917,0.3264259549973836,Apoptotic chromatin condensation inducer; RNA splicing-associated protein
10,SNW1,208,0.007093186795515826,0.2785770337431337,0.3232998885172798,Splicing and transcriptional co-regulatory factor
